Employee #,Filled Position Description,Filled FTE Percent,Current Salary
1186,HRA 3,1," 	80,737 "
3919,EAP PROG ADMIN,1," 	91,243 "
1718,ORGAN DEV/TRAIN OFF,1," 	93,825 "
1565,HRA 3,1," 	80,737 "
3403,HR SERVS MGR,1," 	111,841 "
3498,ADMIN ASST,1," 	62,213 "
2136,SAFETY COORDINATOR,1," 	76,333 "
1220,PROGRAM ASST 1,1," 	49,716 "
3339,OCCUP/ACCOM SPEC 3,1," 	87,008 "
1805,HUMAN RESOURCE DIR,1," 	133,243 "
3285,ORGAN DEV/TRAIN OFF,1," 	88,661 "
1657,HRA 1-18,1," 	61,888 "
2514,LABOR RELATIONS SPEC,1," 	91,243 "
2164,JUD SUPPORT CLK 1,1," 	53,095 "
2438,MUNI JUDGE,1," 	103,115 "
1732,JUD SUPPORT CLK 2,1," 	56,077 "
1988,JUD SUPPORT CLK 3,1," 	59,740 "
4151,EO INV/CONC 2,1," 	65,222 "
1398,HEARING EXAM-EOC,1," 	146,239 "
7464,ADMIN CLK 1,1," 	39,816 "
9067,EQ OPPT MGR,1," 	82,129 "
3316,EO INV/CONC 2,1," 	60,085 "
VACANT,VACANT,VACANT,VACANT
1155,PROGRAM ASST 1,1," 	56,587 "
9116,PROGRAM ASST 2,1," 	48,268 "
3352,HSG MOD GRTS MGR,1," 	79,856 "
2151,HSG MAINT WKR,1," 	56,733 "
6255,HSG MAINT WKR,1," 	51,169 "
3640,SECTION 8 INSPECTOR,1," 	54,239 "
7168,HSG MAINT WKR,1," 	51,169 "
1771,PAINTER,1," 	57,359 "
2127,HSG SITE MGR,1," 	79,143 "
3238,PROGRAM ASST 2,1," 	57,270 "
2970,HSG MAINT WKR,1," 	58,309 "
7537,MAINT MECH 2,1," 	56,800 "
3292,HSG SITE MGR,1," 	72,726 "
1403,HSG ASST CLK 2,1," 	58,088 "
1413,HSG OPER ANALYST,1," 	76,291 "
1795,HSG SITE MGR,1," 	77,717 "
7345,ACCT TECH 2,1," 	50,979 "
1244,HSG ASST CLERK,1," 	55,057 "
8182,HSG MAINT WKR,1," 	48,449 "
2120,HSG OPER PROG MGR,1," 	100,026 "
2157,PROGRAM ASST 1,1," 	55,567 "
VACANT,VACANT,VACANT,VACANT
4014,MAINT MECH 1-16,1," 	68,202 "
1827,PROGRAM ASST 2,0.8," 	43,121 "
VACANT,VACANT,VACANT,VACANT
2595,HSG MAINT WKR,1," 	54,107 "
2316,ADMIN CLK 1,1," 	53,095 "
9028,PROGRAM ASST 2,1," 	48,149 "
1522,INFORMATION CLERK,1," 	46,912 "
3984,INFORMATION CLERK,0.75," 	35,169 "
3872,SSMO 1-15,1," 	51,284 "
3898,ENGINEER 3-18,1," 	80,737 "
9210,ENGINEER 3-18,1," 	78,385 "
7808,PROGRAM ASST 1-17,1," 	46,425 "
3361,ENGINEER 3,1," 	87,008 "
3266,PUB WKS GEN SUPV,1," 	81,581 "
2034,CONSTRUCT INSP 1,1," 	62,691 "
VACANT,VACANT,VACANT,VACANT
8550,SSMW 1-15,1," 	38,238 "
1550,PRINCIPAL ENGR 2,1," 	115,144 "
3295,ENGINEER 4,1," 	91,243 "
7580,STR SEWER MACH OPR 2,1," 	47,410 "
1577,ENGR PROG SPEC 2,1," 	79,574 "
2178,HYDROGEO 3,0.6," 	48,442 "
3777,COMP MAP/GIS COORD,1," 	100,840 "
2442,S/D MAINT TECH 1,1," 	61,069 "
3262,PRINCIPAL ENGR 2,1," 	110,752 "
3051,PRINCIPAL ENGR 1,1," 	109,763 "
1695,ENGR OPER LDWKR-15,1," 	68,910 "
1608,CONSTRUCT INSP 2,1," 	71,897 "
1364,S/D MAINT TECH 1,1," 	61,069 "
7629,STR SEWER MACH OPR 3,1," 	54,526 "
2910,SSMO 1-15,1," 	51,157 "
3971,PW DEV MGR 2,1," 	92,104 "
1438,PRINCIPAL ENGR 1,1," 	100,863 "
2048,ENGINEER 4,1," 	91,243 "
5900,ENGINEER 1-18,1," 	60,085 "
1368,CIVIL TECH 2,1," 	60,904 "
2067,ACCOUNTANT 3,1," 	79,953 "
1725,PROGRAM ASST 1,1," 	57,097 "
2619,ENGINEER 3,1," 	87,792 "
3392,SIDEWALK PROG SUPERV,1," 	74,865 "
9185,PROGRAM ASST 1,1," 	46,665 "
2216,SSMO 1-15,1," 	58,888 "
4697,ENGR OPER MAINT WKR,1," 	52,372 "
3250,SURVEYOR 2,1," 	72,726 "
7716,SSMW 1-15,1," 	42,452 "
3073,ENGR OPER CLK,1," 	60,524 "
1961,SSMO 1-15,1," 	57,798 "
2734,ENGR FINANCIAL MGR,1," 	100,970 "
7346,CONSTRUCT INSP 1-15,1," 	52,364 "
5741,CONSTRUCT INSP 1,1," 	53,804 "
3807,ENGR OPER LDWKR-15,1," 	61,862 "
2621,MAINT MECH 1,1," 	62,859 "
4332,PUB WKS GEN FORE,1," 	65,222 "
2653,ENGINEER 4,1," 	95,547 "
2261,STR SEWER MACH OPR 1,1," 	55,130 "
2429,ENGR CITY,1," 	146,585 "
3717,PW DEV MGR 1-18,1," 	78,385 "
1414,PRINCIPAL ENGR 2,1," 	108,921 "
3661,S/D MAINT TECH 2,1," 	60,028 "
3774,PUB WKS GEN FORE-18,1," 	74,970 "
VACANT,VACANT,VACANT,VACANT
2010,ENGR PROG SPEC 1,1," 	65,023 "
VACANT,VACANT,VACANT,VACANT
2606,PROGRAM ASST 2-20,1," 	53,902 "
1694,STR SEWER MACH OPR 3,1," 	60,524 "
1862,ENGR FIELD AIDE,1," 	60,524 "
2938,STR SEWER MACH OPR 3,1," 	56,162 "
1006,ENGR OPR MGR,1," 	109,763 "
1200,PROGRAM ASST 2,1," 	57,042 "
3219,S/D MAINT TECH 1,1," 	59,433 "
1744,STR SEWER MACH OPR 1,1," 	54,137 "
1993,CONSTRUCT INSP 2,1," 	69,971 "
3189,S/D MAINT TECH 1,1," 	59,979 "
1089,SEWER REPAIR LDWKR-15,1," 	65,648 "
3573,S/D MAINT TECH 1,1," 	60,524 "
3156,STR SEWER MACH OPR 1,1," 	55,130 "
2994,ASST CITY ENGINEER,1," 	121,613 "
3394,SURVEYOR 2,1," 	77,717 "
1923,IT SPEC 3,1," 	82,305 "
1822,CONSTRUCT INSP 2,1," 	66,120 "
3450,SURVEYOR 1,1," 	71,609 "
1388,STR SEWER MACH OPR 1,1," 	55,130 "
3953,PROGRAM ASST 3,1," 	59,202 "
3216,CONSTRUCT INSP 2,1," 	71,897 "
3724,CONSTRUCT INSP 2,1," 	71,255 "
2643,FLEET TECH,1," 	68,295 "
2819,AUTO MAINT WKR 2,1," 	55,387 "
3253,FLEET TECH,1," 	65,218 "
10446,FLEET TECH,1," 	49,011 "
2425,OPERATIONS CLERK,1," 	59,435 "
2524,FLEET TECH,1," 	58,329 "
VACANT,VACANT,VACANT,VACANT
1789,WELDER,1," 	66,239 "
1343,ADMIN ASST,1," 	62,213 "
1983,FLEET TECH,1," 	56,630 "
3490,FLEET TECH,1," 	68,910 "
2441,PUB WKS GEN FORE,1," 	75,651 "
2654,FLEET PARTS TECH,1," 	57,312 "
10246,FLEET TECH,1," 	49,011 "
VACANT,VACANT,VACANT,VACANT
2105,PUB WKS GEN FORE,1," 	75,651 "
3921,FLEET TECH,1," 	68,295 "
2447,FLEET PARTS TECH,1," 	58,904 "
2341,FLEET TECH,1," 	67,064 "
VACANT,VACANT,VACANT,VACANT
